"TIMESTAMP","RECORD","Batt_Volt_Min","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","Indice_UV_1_Avg","Indice_UV_2_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"2023-01-25 00:20:00",65,10.33,0,0.001,0,0,0.1,3.99,1.711,16.98,17.11,16.84,0.062,59.31,59.57,58.95,0.119,2.249,3.2,1.7,0.367,1.476,875.892,0
"2023-01-25 00:30:00",66,10.33,0,0.001,0,0,0.1,3.99,1.711,16.84,17.05,16.67,0.082,59.4,59.88,58.85,0.24,2.098,3.2,0.95,0.412,1.428,875.8118,0
"2023-01-25 00:40:00",67,10.32,0,0.101,0,0,0.1,3.99,1.711,16.88,17.12,16.64,0.101,59.08,59.74,58.21,0.437,2.181,3.2,0.95,0.397,1.428,875.7529,0
"2023-01-25 00:50:00",68,10.31,0,0.089,0,0,0.1,3.99,1.711,16.99,17.19,16.81,0.073,58.47,59.13,57.56,0.387,2.306,3.2,1.7,0.366,1.428,875.7513,0
"2023-01-25 01:00:00",69,10.31,0,0.134,0,0,0.1,3.99,1.711,17.19,17.53,16.88,0.161,57.05,58.45,55.59,0.82,2.133,2.45,1.7,0.371,1.355,875.7575,0
"2023-01-25 01:10:00",70,10.3,0,0.052,0,0,0.1,3.99,1.711,17.3,17.56,17.05,0.113,56.78,57.73,55.79,0.431,1.293,2.45,0,0.751,1.379,875.7639,0
"2023-01-25 01:20:00",71,10.3,0,0.176,0,0,0.1,3.99,1.711,17.55,17.8,17.26,0.127,56.38,57.43,55.38,0.429,1.665,3.2,0,0.439,1.403,875.774,0
"2023-01-25 01:30:00",72,10.29,0,0.117,0,0,0.1,3.99,1.711,17.56,17.94,17.29,0.173,55.53,57.56,53.37,1.41,1.89,2.45,0.95,0.389,1.355,875.7099,0
"2023-01-25 01:40:00",73,10.28,0,0.18,0,0,0.1,3.99,1.711,17.73,18.01,17.19,0.206,53.81,56.58,52.45,0.968,2.078,3.2,0,0.524,1.355,875.6152,0
"2023-01-25 01:50:00",74,10.28,0,0.001,0,0,0.1,3.99,1.711,17.16,17.4,16.95,0.072,55.11,56.2,53.71,0.512,1.24,2.45,0,0.497,1.21,875.6149,0
"2023-01-25 02:00:00",75,10.27,0,0.068,0,0,0.1,3.99,1.711,17.51,17.74,17.23,0.102,52.59,53.95,51.6,0.633,1.42,2.45,0,0.4,1.331,875.5129,0
"2023-01-25 02:10:00",76,10.25,0,0.041,0,0,0.1,3.99,1.711,17.77,18.01,17.46,0.127,50.51,52.22,49.76,0.61,0.882,2.45,0,0.698,1.403,875.6178,0
"2023-01-25 02:20:00",77,10.27,0,0.005,0,0,0.1,3.99,1.711,17.8,17.97,17.63,0.065,50.64,51.74,49.93,0.366,0.324,1.7,0,0.473,1.21,875.6176,0
"2023-01-25 02:30:00",78,10.26,0,0.047,0,0,0.1,3.99,1.711,17.56,17.8,17.36,0.104,51.51,52.49,50.65,0.477,0.331,1.7,0,0.495,1.21,875.6166,0
"2023-01-25 02:40:00",79,10.25,0,0.138,0,0,0.1,3.991,1.711,17.46,17.6,17.33,0.055,51.17,52.66,50.34,0.446,1.326,2.45,0,0.415,1.307,875.6219,0
"2023-01-25 02:50:00",80,10.25,0,0.064,0,0,0.1,3.991,1.711,17.45,17.6,17.29,0.055,50.96,52.22,50.14,0.396,1.352,2.45,0,0.413,1.283,875.6564,0
"2023-01-25 03:00:00",81,10.25,0,0,0,0,0.1,3.991,1.711,17.22,17.57,16.99,0.142,52.15,53.48,50.72,0.585,0.262,1.7,0,0.478,1.307,875.7844,0
"2023-01-25 03:10:00",82,10.25,0,0.075,0,0,0.1,3.991,1.711,16.88,17.12,16.71,0.077,52.87,54.09,51.57,0.51,1.211,1.7,0,0.42,1.307,875.885,0
"2023-01-25 03:20:00",83,10.24,0,0.214,0,0,0.1,3.991,1.711,17.09,17.4,16.85,0.101,50.75,52.62,49.05,0.885,1.606,2.45,0.95,0.403,1.307,875.9098,0
"2023-01-25 03:30:00",84,10.23,0,0.367,0,0,0.1,3.991,1.711,17.21,17.5,16.92,0.13,48.88,51.33,47.72,0.724,2.141,2.45,1.7,0.369,1.258,875.9507,0
"2023-01-25 03:40:00",85,10.18,0,0.096,0,0,0.1,3.991,1.711,17.22,17.6,16.92,0.189,48.99,50.55,47.58,0.843,1.913,2.45,0.95,0.377,1.258,875.949,0
"2023-01-25 03:50:00",86,10.2,0,0.001,0,0,0.1,3.991,1.711,16.79,17.12,16.58,0.127,50.35,51.47,48.91,0.446,0.836,2.45,0,0.608,1.307,875.9489,0
"2023-01-25 04:00:00",87,10.2,0,0.243,0,0,0.1,3.991,1.711,17.07,17.36,16.68,0.17,47.89,50.17,46.97,0.651,1.527,3.2,0,0.524,1.137,875.9505,0
"2023-01-25 04:10:00",88,10.2,0,0.27,0,0,0.1,3.991,1.711,17.14,17.29,16.95,0.064,49.8,51.36,48.6,0.705,1.848,3.2,0,0.525,1.137,875.9509,0
"2023-01-25 04:20:00",89,10.19,0,0.197,0,0,0.1,3.991,1.711,17.1,17.29,16.92,0.074,51.87,53.31,50.51,0.721,1.868,3.2,0.95,0.442,1.307,875.9916,0
"2023-01-25 04:30:00",90,10.18,0,0.025,0,0,0.1,3.991,1.711,17.16,17.33,16.99,0.066,53.81,54.33,52.93,0.293,1.718,3.2,0,0.542,1.137,876.1063,0
"2023-01-25 04:40:00",91,10.17,0,0.002,0,0,0.1,3.991,1.711,16.89,17.12,16.68,0.085,53.59,54.6,51.87,0.72,1.851,3.2,0,0.515,1.258,876.1716,0
"2023-01-25 04:50:00",92,10.17,0,0.042,0,0,0.1,3.991,1.711,16.67,16.88,16.48,0.069,52.54,53.65,51.26,0.538,1.969,3.2,0.95,0.413,1.283,876.1226,0
"2023-01-25 05:00:00",93,10.13,0,0.089,0,0,0.1,3.991,1.711,16.84,17.19,16.65,0.093,50.81,52.18,48.77,0.898,2.261,3.95,0.95,0.508,1.258,876.2699,0
"2023-01-25 05:10:00",94,10.06,0,0.007,0,0,0.1,3.991,1.711,16.74,17.12,16.41,0.177,50.19,50.99,48.94,0.44,1.914,3.2,0.95,0.442,1.258,876.2779,0
"2023-01-25 05:20:00",95,9.87,0,0.004,0,0,0.1,3.991,1.711,16.46,16.68,16.27,0.067,49.24,50.92,48.19,0.666,2.143,3.2,0,0.4,1.162,876.2779,0
"2023-01-25 05:30:00",96,9.7,0,0.012,0,0,0.1,3.991,1.711,16.67,16.85,16.51,0.06,48.2,48.74,47.72,0.228,1.901,2.45,0.95,0.401,1.162,876.2779,0
